分类,单词,中文,例句
交通 (Transportation),limousine,豪华轿车,They arrived at the party in a limousine.
交通 (Transportation),bicycle,自行车,She rides her bicycle to work every day.
交通 (Transportation),skateboard,滑板,He does tricks on his skateboard at the skate park.
交通 (Transportation),roller skates,滑轮溜冰鞋,She enjoys skating with her roller skates in the park.
交通 (Transportation),RV,房车,They traveled across the country in their RV.
交通 (Transportation),ferry,渡轮,We took a ferry to visit the nearby island.
交通 (Transportation),pickup truck,皮卡车,They use a pickup truck for transporting goods.
交通 (Transportation),van,面包车,We rented a van for our family road trip.
交通 (Transportation),tram,有轨电车,The tram is a popular mode of transportation in the city.
交通 (Transportation),horse,马,They went horseback riding in the countryside.
交通 (Transportation),carpool,拼车,They save money by carpooling to work together.
交通 (Transportation),motorboat,摩托艇,They enjoyed a day of water skiing on a motorboat.
交通 (Transportation),jet ski,水上摩托艇,He had fun riding a jet ski at the beach.
交通 (Transportation),hovercraft,气垫船,The hovercraft glided over the water effortlessly.
交通 (Transportation),bulldozer,推土机,The bulldozer cleared the construction site.
交通 (Transportation),forklift,叉车,The forklift lifted heavy crates in the warehouse.
交通 (Transportation),monorail,单轨列车,They rode the monorail to visit the theme park.
自然 (Nature),tree,树,The birds are singing in the tree.
自然 (Nature),flower,花,She picked a beautiful flower from the garden.
自然 (Nature),river,河流,The river flows gracefully through the countryside.
自然 (Nature),mountain,山,We hiked to the top of the mountain for a breathtaking view.
自然 (Nature),lake,湖,The children enjoyed swimming in the clear lake.
自然 (Nature),forest,森林,You can hear the sounds of nature in the forest.
自然 (Nature),sun,太阳,The sun is shining brightly in the sky.
自然 (Nature),moon,月亮,The moonlight shone through the window.
自然 (Nature),star,星星,Look at the bright stars in the night sky.
自然 (Nature),sky,天空,The sky is clear and blue today.
自然 (Nature),cloud,云,The fluffy white cloud looks like a sheep.
自然 (Nature),rain,雨,We danced in the rain during the summer storm.
自然 (Nature),wind,风,The wind rustled through the leaves of the trees.
自然 (Nature),snow,雪,The snow glistened like diamonds in the sunlight.
自然 (Nature),sea,海,The waves crashed against the shore.
自然 (Nature),beach,海滩,We built sandcastles on the beach.
自然 (Nature),island,岛屿,The island is surrounded by crystal-clear waters.
自然 (Nature),rock,岩石,The hikers climbed over the rugged rocks.
自然 (Nature),garden,花园,The roses bloomed beautifully in the garden.
自然 (Nature),field,田野,The wheat swayed in the breeze in the vast field.
自然 (Nature),wildlife,野生动植物,We saw many different kinds of wildlife on our safari.
自然 (Nature),butterfly,蝴蝶,The colorful butterfly fluttered gracefully in the garden.
自然 (Nature),bird,鸟,The bird chirped a cheerful tune.
自然 (Nature),breeze,微风,The gentle breeze cooled us down on a hot day.
自然 (Nature),landscape,风景,The landscape was breathtakingly beautiful.
自然 (Nature),sunset,日落,The sky was painted in vibrant colors during the sunset.
自然 (Nature),sunrise,日出,We woke up early to catch the beautiful sunrise.
自然 (Nature),rainbow,彩虹,The rainbow arched across the sky after the rain.
自然 (Nature),stream,小溪,We followed the babbling stream through the forest.
自然 (Nature),flowering,开花的,The cherry trees were in full flowering bloom.
动作 (Action),run,跑,She runs in the park every morning.
动作 (Action),jump,跳跃,The athlete can jump over the hurdle easily.
动作 (Action),walk,走路,We often walk home after school.
动作 (Action),swim,游泳,She swims in the pool for an hour each day.
动作 (Action),dance,跳舞,They dance to the music at the party.
动作 (Action),climb,攀登,The climber reached the mountain peak at dawn.
动作 (Action),play,玩耍,Children love to play with their toys.
动作 (Action),sleep,睡觉,He sleeps for eight hours every night.
动作 (Action),draw,画画,She draws a beautiful picture with colored pencils.
动作 (Action),read,阅读,I like to read novels in my free time.
动作 (Action),write,写字,He writes his homework in a notebook.
动作 (Action),sing,唱歌,She sings a song for her friends at the party.
动作 (Action),eat,吃饭,We eat lunch at 12 o'clock.
动作 (Action),drink,喝水,They drink a glass of milk before bedtime.
动作 (Action),cook,烹饪,My mom cooks delicious meals for our family.
动作 (Action),clean,清洁,She cleans her room every weekend.
动作 (Action),laugh,笑,The kids laugh at the funny joke.
动作 (Action),cry,哭泣,He cries when he watches sad movies.
动作 (Action),fight,打架,The two boys fight over a toy.
动作 (Action),swing,荡秋千,She likes to swing in the park.
动作 (Action),ride,骑,He learns how to ride a bike in the park.
动作 (Action),paint,画画,They paint the wall with a roller brush.
动作 (Action),skate,滑冰,She skates on the frozen pond in winter.
动作 (Action),exercise,锻炼,We exercise at the gym to stay healthy.
动作 (Action),plant,种植,They plant flowers in the garden.
动作 (Action),hug,拥抱,She hugs her friend to show love.
动作 (Action),play,演奏,He plays the guitar at the concert.
动作 (Action),build,建造,They build a sandcastle on the beach.
动作 (Action),kick,踢,He kicks the ball into the goal.
健康 (Health),Exercise,运动,Regular exercise can improve our physical health.
健康 (Health),Nutrition,营养,Eating a balanced diet is essential for good nutrition.
健康 (Health),Hygiene,卫生,Good personal hygiene helps prevent the spread of germs.
健康 (Health),Wellness,健康,Practicing mindfulness can improve our overall wellness.
健康 (Health),Sleep,睡眠,Adequate sleep is important for our mental and physical well-being.
健康 (Health),Stress,压力,Too much stress can have a negative impact on our health.
健康 (Health),Diet,饮食,It's important to maintain a healthy diet to prevent diseases.
健康 (Health),Mental health,心理健康,Taking care of our mental health is just as important as our physical health.
健康 (Health),Safety,安全,Always prioritize safety when engaging in physical activities.
健康 (Health),Medication,药物,It's important to take prescribed medication as directed by your doctor.
健康 (Health),Vaccination,疫苗,Vaccination is a key way to prevent the spread of infectious diseases.
健康 (Health),Balance,平衡,Finding a balance between work and relaxation is crucial for our health.
健康 (Health),Hydration,水分摄入,Staying hydrated is essential for our body to function properly.
健康 (Health),Regular check-ups,定期体检,Regular check-ups help monitor our health and catch any issues early.
健康 (Health),Blood pressure,血压,Monitoring your blood pressure is important for heart health.
健康 (Health),Immune system,免疫系统,Keeping your immune system strong helps fight off illnesses.
健康 (Health),Physical fitness,身体健康,Physical fitness is important for overall health and well-being.
健康 (Health),Dental care,口腔护理,Regular dental care is essential for good oral health.
健康 (Health),Screening tests,筛查测试,Screening tests can detect health problems early on.
健康 (Health),Medical history,病史,Providing your medical history to doctors helps them make informed decisions.
健康 (Health),Resilience,适应性,Resilience helps us cope with challenges and maintain good mental health.
健康 (Health),Allergies,过敏,Knowing your allergies can help you avoid triggers and stay healthy.
健康 (Health),Eating habits,饮食习惯,Developing healthy eating habits is important for our health.
健康 (Health),Physical therapy,物理疗法,Physical therapy can help with rehabilitation and recovery from injuries.
健康 (Health),Herbal remedies,草本疗法,Some people find relief through the use of herbal remedies.
健康 (Health),Self-care,自我保健,Practicing self-care can improve our overall well-being and mental health.
健康 (Health),Holistic health,整体健康,Holistic health considers the whole person
健康 (Health),Mitigation,减轻,Taking steps to mitigate stress can improve our emotional and physical health.
健康 (Health),Prevention,预防,Prevention is key in maintaining good health and preventing diseases.
社交 (Social),friend,朋友,She is my best friend.
社交 (Social),party,聚会,We are going to a party this weekend.
社交 (Social),conversation,谈话,Having a conversation with him is always interesting.
社交 (Social),relationship,关系,They have a close relationship with each other.
社交 (Social),community,社区,Our community is very friendly and helpful.
社交 (Social),acquaintance,熟人,He is only an acquaintance
社交 (Social),network,人际网络,Having a strong professional network is important for career development.
社交 (Social),invite,邀请,She will invite you to her birthday party.
社交 (Social),greet,问候,Don't forget to greet your neighbors when you see them.
社交 (Social),chat,聊天,She likes to chat with her friends on social media.
社交 (Social),socialize,社交,It's important to socialize and make friends in a new environment.
社交 (Social),event,活动,We are planning a charity event next month.
社交 (Social),gather,聚集,Friends often gather at my house on weekends.
社交 (Social),introduce,介绍,Let me introduce you to my colleague.
社交 (Social),communication,沟通,Effective communication is key to building strong relationships.
